x,y,depth
999494.1265677253,317597.3029890736,-5146.4404296875
1009505.1552512938,317636.9836105989,-5196.85791015625
1019517.4429112618,317677.4585349974,-5187.15673828125
1029531.0145055961,317718.7282678788,-5244.603515625
1039545.895008206,317760.7933249421,-4893.564453125
1049562.1094092582,317803.65423199185,-5250.2275390625
1059579.682715492,317847.31152495387,-5677.69873046875
1069598.6399505348,317891.76574989175,-5329.09228515625
1079619.0061552268,317937.01746302436,-5273.05126953125
1089640.8063879244,317983.06723074213,-5213.109375
1099664.0657248269,318029.91562962474,-5194.5595703125
1109688.8092602931,318077.5632464591,-5204.29931640625
1119715.0621071574,318126.0106782575,-5193.5078125
1129742.84939706,318175.25853227556,-5179.19970703125
1139772.19628075,318225.3074260315,-5182.6943359375
1149803.1279284172,318276.1579873248,-5168.19921875
1159835.6695300112,318327.8108542558,-5145.93017578125
1169869.8462955619,318380.26667524554,-5152.79833984375
1179905.6834555024,318433.5261090558,-4966.99169921875
1189943.2062609904,318487.5898248091,-4920.79296875
1199982.43998424,318542.45850201,-5099.8544921875
1210023.4099188338,318598.13283056556,-4930.96875
1220066.141380051,318654.61351080734,-4993.91162109375
1230110.6597052081,318711.90125351277,-4715.89697265625
-725112.3781127078,312356.0820852791,-49.69911193847656
-714947.8735216337,312261.2306814543,-13.730731964111328
-704786.4325383864,312167.2076448983,100
-694628.0283189672,312074.0117581958,-51.669681549072266
-684472.6340584382,311981.6418155134,-66.55027770996094
-674320.222990559,311890.096622561,-68
-664170.7683874033,311799.37499655306,-66.80973052978516
-654024.2435590054,311709.4757661705,-64
-643880.6218529716,311620.397771523,-65.700439453125
-633739.8766541297,311532.1398641115,-67
-623601.9813841523,311444.70090679155,-67
-613466.9095011919,311358.07977373636,-65
-603334.6344995319,311272.2753504011,-62
-593205.129909199,311187.28653348715,-60
-583078.3692956232,311103.11223090626,-71.199798583984375
-572954.3262592612,311019.75136174593,-69
-562832.9744352545,310937.2028562351,-69.00936126708984
-552714.2874930501,310855.4656557095,-73.00004577636719
-542598.2391360583,310774.5387125783,-78.93000793457031
-532484.8031012944,310694.4209902904,-84.05030059814453
-522373.9531590184,310615.1114633013,-92.198883056640625
-512265.66311238566,310536.60911704105,-81.79988098144531
-502159.90679708996,310458.9129478814,-80.80989074707031
-492056.6580810123,310382.021963104,-78.19984436035156
-481955.8908638749,310305.93518086936,-74.90010070800781
-471857.5790768848,310230.651630185,-71.970001220703125
-461761.6966823898,310156.1703508754,-65.99002838134766
-451668.21767352184,310082.49039355083,-62.71025848388672
-441577.1160738631,310009.6108195782,-37.96088790893555
-431488.3659370885,309937.53070105065,-27.850114822387695
-421401.9413466273,309866.24912075844,-5.200347900390625
-411317.81641531363,309795.76517216035,100
-401235.96528504416,309726.0779593547,-6.009718894958496
-391156.36212644516,309657.1865970513,-28.430805206298828
-381078.9811385139,309589.0902105435,-38.40010070800781
-371003.7965482939,309521.7879356808,-43.930118560791016
-360930.78261052165,309455.27891884145,-47
-350859.91360730375,309389.5623169061,-48.810550689697266
-340791.1638477611,309324.6372972308,-50.97003936767578
-330724.5076677018,309260.50303762103,-54
-320659.91942928743,309197.1587263064,-54
-310597.37352068606,309134.6035619147,-51
-300536.8443557533,309072.83675344684,-51
-290478.30637368164,309011.8575202526,-52.9700927734375
-280421.7340386774,308951.66509200545,-55
-270367.10183962784,308892.25870867935,-58.3006591796875
-260314.3842897662,308833.6376205245,-61
-250263.5559263439,308775.8010880441,-59.91011428833008
-240214.59131029504,308718.7483819714,-59.63954544067383
