"Mean biomass (tons), excluding first ages specified in input"
"Time","smallpelagic1","macrozooplankton","demersal1","demersal2","demersal3","mesopelagic","smallpelagic2","smallpelagic3","largepelagic1","largepelagic2"
131.0,112328.055,450574.3,1217913.1,1685644.1,82085.875,558449.06,952011.75,445333.72,95.52462,0.0
131.25,99040.55,403726.6,1266138.0,1756878.0,92004.36,593214.9,1018413.4,454197.8,95.32548,0.0
131.5,95393.13,887583.2,1270298.9,1760219.1,114385.62,722435.06,1037456.56,493170.4,95.2915,0.0
131.75,105976.14,905554.0,1192364.4,1681801.0,137421.25,634529.3,999776.1,513793.22,95.83138,0.0
132.0,119005.664,492516.28,1160344.2,1628837.6,150231.0,513224.47,1047821.5,576258.0,93.5393,0.0
132.25,108508.34,448822.78,1222578.9,1779906.4,151236.55,511109.03,1024590.5,556564.4,91.81366,0.0
132.5,100812.19,950381.06,1200466.0,1894173.4,146132.1,576962.75,1026579.7,523230.56,90.89836,0.0
132.75,107406.05,858321.44,1123129.8,1829063.9,140648.61,540650.3,992673.8,515131.44,90.5139,0.0
133.0,118274.57,406841.0,1093067.0,1769481.5,141233.11,456140.3,1046661.5,545382.25,88.80241,0.0
133.25,107620.19,424313.97,1154436.5,1806262.0,137037.25,445395.0,1061597.4,496385.6,88.89534,0.0
133.5,94080.51,992131.9,1159521.5,1867991.0,127390.484,525045.56,1052164.0,454479.94,89.3103,0.0
133.75,95410.28,943246.6,1126024.4,1785196.2,118143.664,481547.88,1014939.7,442041.75,89.23997,0.0
134.0,112142.945,477775.7,1103265.6,1765588.1,117039.805,429304.78,1089222.5,469438.3,88.85835,0.0
134.25,111174.555,500915.66,1203144.5,1940223.8,139714.39,495648.78,1088003.1,438252.53,89.50158,0.0
134.5,102565.695,1027837.5,1249661.2,2021690.6,172528.94,625785.56,1020045.0,466918.28,90.407585,0.0
134.75,92815.89,963910.6,1194072.4,1926559.1,170264.62,591574.3,952310.4,473022.44,91.12863,0.0
135.0,87216.54,505593.4,1165158.9,1839772.6,176469.0,422692.25,993266.44,488337.62,90.97168,0.0
135.25,76335.87,495025.72,1232543.8,1921008.2,179680.25,436845.56,1008594.2,438992.12,91.02052,0.0
135.5,68105.305,1200291.8,1263666.0,1974298.1,186538.67,524213.88,973647.8,401689.9,91.419106,0.0
135.75,69356.51,1111179.4,1212648.2,1864382.4,182199.1,433796.88,925871.25,367910.97,90.874374,0.0
136.0,66932.12,526126.9,1224806.1,1774220.8,178212.4,351413.4,981137.9,366469.1,90.36979,0.0
136.25,60805.055,514469.66,1337859.6,1920403.5,171901.86,426762.8,1011201.0,348829.3,90.92297,0.0
136.5,52190.785,1103786.1,1411932.5,1997356.5,159640.02,489849.75,1004676.6,356965.28,93.34916,0.0
136.75,64572.723,987111.2,1395534.5,1942222.1,156572.94,412048.84,987167.1,365063.53,93.35954,0.0
137.0,79505.4,475118.4,1397774.9,1876207.2,159086.19,308636.06,1065325.2,423684.28,91.553535,0.0
137.25,77031.39,482861.78,1443781.1,1912033.9,148435.61,363170.5,1040035.0,394352.44,89.48752,0.0
137.5,63538.07,1031353.2,1424393.8,1963503.0,147769.88,463874.8,948641.94,402860.2,88.81191,0.0
137.75,61256.375,902057.8,1340321.0,1862960.5,135816.16,367042.28,904410.7,390628.84,88.29323,0.0
138.0,60580.336,445669.22,1284390.9,1737132.2,119333.83,330779.62,981291.1,426559.1,87.300575,0.0
138.25,48884.87,472340.6,1300955.9,1744282.8,112089.6,412685.97,969520.5,409310.22,86.75806,0.0
138.5,44352.145,1019740.7,1329194.4,1681925.6,124512.38,543336.75,1019758.94,431808.44,87.398155,0.0
138.75,56252.086,902811.6,1291495.4,1545946.2,140193.02,511093.72,990355.56,436993.06,87.27227,0.0
139.0,66703.484,471565.94,1261345.1,1473553.6,158854.4,446974.4,1034121.44,474782.94,86.4422,0.0
139.25,66576.09,503108.38,1301160.9,1518554.2,156895.83,483122.9,1004689.94,436070.3,86.00516,0.0
139.5,59978.59,1002531.9,1328253.2,1533383.2,150394.7,606238.0,961069.75,415020.25,87.0858,0.0
139.75,71481.555,921707.6,1278816.0,1446852.2,143248.64,539501.8,926873.56,398798.38,86.869064,0.0
140.0,90611.875,434239.38,1303019.5,1346504.6,150178.3,462422.62,970987.5,423837.53,84.64245,0.0
